Step #1 --------------------
Particle | Position (X) | Position (Y) | Velocity (X) | Velocity (Y) | Acceler. (X) | Acceler. (Y) |
Particle | Position (X) | Velocity (X) | Acceler. (X) |
      29 | 9.784711e+00 | 2.935488e+00 | 2.773785e+00 |-4.763604e+00 | 1.081813e+00 |-2.757940e+00 |
      30 | 5.794661e+00 | 6.790507e+00 | 5.826034e+00 | 3.063138e+00 | 1.348568e+02 |-3.400613e+02 |
      31 | 5.998867e+00 | 3.693046e+00 | 5.855119e+00 |-5.371042e-02 |-2.399364e+02 |-1.992762e+01 |
      32 | 1.217857e+00 | 9.697020e+00 |-2.133699e+00 |-3.551284e+00 | 2.160966e+02 | 1.198301e+03 |
      33 | 1.019212e+00 | 4.556443e+00 |-4.119081e-01 |-2.319922e+00 |-6.775903e-01 | 1.494465e+00 |
      34 | 7.495603e+00 | 6.418482e+00 |-1.840965e+00 | 3.615701e+00 | 6.092011e+01 | 1.407600e+01 |
      35 | 9.346198e+00 | 1.648604e+00 |-1.230967e+00 |-2.605272e+00 | 7.571483e-01 |-3.710990e-03 |
      36 | 6.863414e+00 | 3.767706e+00 |-3.082274e+00 |-3.173195e+00 | 2.365815e+02 | 1.766689e+01 |
      37 | 2.048027e+00 | 6.522190e+00 | 2.928455e+00 | 1.897219e+00 | 2.416946e-01 | 7.474774e-01 |
      38 | 8.077112e+00 | 6.872091e-01 | 1.331928e+00 | 3.218062e+00 | 1.004602e+01 | 2.609470e+00 |
      39 | 2.439278e+00 | 5.188341e+00 |-5.291730e+00 | 7.319305e+00 |-1.259235e+00 | 1.114231e+00 |
      40 | 7.802066e+00 | 4.326301e+00 |-4.519313e+00 | 5.283403e+00 |-3.670147e+02 | 3.309053e+01 |
Step #500 --------------------
Particle | Position (X) | Position (Y) | Velocity (X) | Velocity (Y) | Acceler. (X) | Acceler. (Y) |
